Depth,Salinity,Temperature
0.957,19.6567,5.0865
1.899,25.3867,6.6026
2.926,26.7754,7.2544
3.958,27.5762,7.7076
5.006,27.848,7.8368
5.999,27.9544,7.8714
6.989,28.0201,7.8989
7.991,28.0622,7.9299
8.917,28.1897,8.0096
9.843,28.2885,8.0746
10.851,28.4556,8.2304
11.858,28.6575,8.3791
12.87,28.7698,8.458
13.872,28.8322,8.5014
14.848,28.8555,8.5146
15.851,28.9053,8.5685
16.838,28.9993,8.6448
17.806,29.0666,8.6976
18.811,29.107,8.7284
19.801,29.1424,8.7538
20.774,29.1636,8.7689
21.811,29.1885,8.7848
22.805,29.2032,8.794
23.787,29.2106,8.7992
24.795,29.2166,8.8029
25.783,29.2214,8.8066
26.801,29.2583,8.8263
27.786,29.2774,8.8358
28.754,29.2923,8.8455
29.754,29.3036,8.8511
30.749,29.3311,8.8486
31.742,29.3737,8.8538
32.761,29.3834,8.8528
33.763,29.3955,8.8548
34.757,29.4052,8.8562
35.765,29.4097,8.8565
36.673,29.4143,8.8576
37.587,29.4307,8.8615
38.653,29.4635,8.8696
39.71,29.4935,8.8741
40.669,29.5279,8.8813
41.611,29.5394,8.8915
42.561,29.5446,8.9036
43.566,29.5572,8.9127
44.552,29.5739,8.9071
45.518,29.5886,8.9023
46.549,29.5975,8.9108
47.521,29.6058,8.9184
48.498,29.6156,8.9237
49.516,29.6241,8.9269
50.562,29.6359,8.923
51.545,29.6446,8.9168
52.466,29.6529,8.9179
53.514,29.6621,8.9206
54.503,29.6695,8.9244
55.45,29.701,8.9364
56.434,29.7136,8.9477
57.425,29.7207,8.9481
58.413,29.7278,8.9449
59.435,29.7422,8.9494
60.45,29.775,8.946
61.434,29.7796,8.9375
62.455,29.782,8.9342
63.46,29.7867,8.9341
64.45,29.7979,8.9298
65.461,29.8107,8.931
66.462,29.8283,8.9446
67.459,29.8592,8.9671
68.46,29.8808,8.9764
69.46,29.9208,8.9909
70.374,29.9511,9.0076
71.303,29.96,9.0141
72.308,29.9969,9.0321
73.31,30.0109,9.0383
74.333,30.0124,9.0391
75.341,30.0168,9.0408
76.35,30.058,9.0538
77.363,30.0789,9.0594
78.366,30.0919,9.0638
79.286,30.1043,9.0686
80.217,30.1163,9.0731
81.217,30.1438,9.0863
82.229,30.1607,9.0932
83.207,30.167,9.0957
84.164,30.1846,9.1013
85.224,30.197,9.1068
86.204,30.2439,9.1253
87.169,30.282,9.1407
88.192,30.3009,9.1488
89.141,30.3216,9.1589
90.115,30.3751,9.1832
91.132,30.4211,9.2011
92.112,30.4457,9.211
93.11,30.4585,9.217
94.152,30.4697,9.2226
95.175,30.5078,9.2399
96.173,30.5203,9.2463
97.18,30.53,9.2507
98.18,30.5387,9.2553
99.172,30.5438,9.2571
100.105,30.5494,9.2602
101.035,30.5552,9.2627
102.04,30.5593,9.2645
103.067,30.566,9.2679
104.08,30.5733,9.2727
105.066,30.6117,9.29
106.048,30.6226,9.2953
107.03,30.6293,9.2988
108.016,30.6312,9.2998
109.004,30.6444,9.3065
109.986,30.6469,9.3082
110.986,30.6488,9.3093
111.985,30.6668,9.3178
112.961,30.6738,9.3209
113.944,30.6783,9.324
114.974,30.6966,9.3328
116.03,30.705,9.3374
117.027,30.7052,9.3379
117.988,30.7056,9.3381
118.975,30.7098,9.342
119.961,30.7206,9.348
120.938,30.7239,9.3501
121.922,30.7248,9.3504
122.903,30.7259,9.3504
123.884,30.7283,9.352
124.87,30.7295,9.3529
125.861,30.7305,9.3537
126.858,30.7304,9.354
127.825,30.7307,9.3543
128.833,30.7325,9.3549
129.861,30.7347,9.3557
130.872,30.7375,9.3568
131.874,30.7374,9.3576
132.781,30.7365,9.3577
133.734,30.7377,9.358
134.808,30.7382,9.358
135.823,30.7385,9.3585
136.785,30.7385,9.3585
137.797,30.7391,9.3586
138.765,30.7385,9.3586
139.702,30.7395,9.3589
140.665,30.7421,9.3601
141.676,30.7477,9.3615
142.722,30.7499,9.3627
143.704,30.7547,9.3659
144.637,30.7598,9.3677
145.638,30.7624,9.3694
146.607,30.7638,9.3715
147.614,30.7662,9.3733
148.643,30.769,9.3746
149.605,30.7717,9.3759
150.596,30.7718,9.3762
151.613,30.7733,9.3763
152.585,30.7734,9.3766
153.591,30.7732,9.3767
154.589,30.7732,9.3768
155.565,30.7736,9.3774
156.561,30.7754,9.3783
157.565,30.7777,9.3795
158.56,30.7785,9.3803
159.571,30.7807,9.3818
160.568,30.7837,9.3846
161.577,30.7788,9.3853
162.588,30.7881,9.3886
163.586,30.7987,9.3946
164.5,30.7995,9.396
165.425,30.7998,9.3965
166.433,30.802,9.3971
167.439,30.8069,9.4037
168.44,30.808,9.4061
169.432,30.8092,9.408
170.444,30.8094,9.4088
171.425,30.8095,9.4087
172.436,30.8099,9.4089
173.436,30.8097,9.4089
174.387,30.81,9.4088
175.384,30.8099,9.4092
176.34,30.8108,9.4093
177.309,30.8104,9.4093
178.357,30.8107,9.4095
179.378,30.8103,9.4109
180.372,30.8109,9.4112
181.391,30.8115,9.4124
182.4,30.8122,9.414
183.379,30.8129,9.4149
184.354,30.813,9.4156
185.351,30.8129,9.4165
186.324,30.8139,9.4177
187.325,30.8159,9.4207
188.331,30.8169,9.4211
189.257,30.8178,9.4222
190.181,30.8161,9.421
191.171,30.8153,9.4203
192.179,30.8154,9.4209
193.238,30.8187,9.4242
194.273,30.8203,9.4253
195.282,30.8204,9.4256
196.25,30.8211,9.4267
197.207,30.8205,9.4261
198.21,30.8205,9.4266
199.185,30.8218,9.4275
200.164,30.8219,9.4293
201.179,30.8236,9.4307
202.152,30.8235,9.4312
203.122,30.8253,9.4326
204.114,30.8263,9.4337
205.075,30.8271,9.4351
206.058,30.829,9.4376
207.042,30.8311,9.4401
208.007,30.8311,9.4408
209.031,30.8307,9.4414
210.052,30.8318,9.4426
211.027,30.8323,9.444
212.055,30.8338,9.4457
213.057,30.8351,9.4472
214.049,30.8351,9.4479
215.006,30.8313,9.4478
215.939,30.8339,9.4473
216.928,30.8344,9.4472
217.942,30.8346,9.4473
218.959,30.8349,9.4484
219.977,30.8362,9.4501
220.993,30.837,9.4516
,30.838,